region,crop,strategy,m
PO1,cereals,syn,18248.0
PO1,cereals,syn_and_man,2907.0
PO1,ley_silage,syn,1215.0
PO1,ley_silage,syn_and_man,2440.0
PO1,ley_pasture,syn,
PO1,ley_pasture,syn_and_man,
PO1,other,syn,8776.0
PO1,other,syn_and_man,1778.0
PO2,cereals,syn,7376.0
PO2,cereals,syn_and_man,2956.0
PO2,ley_silage,syn,1972.0
PO2,ley_silage,syn_and_man,5775.0
PO2,ley_pasture,syn,256.0
PO2,ley_pasture,syn_and_man,
PO2,other,syn,2840.0
PO2,other,syn_and_man,2876.0
PO3,cereals,syn,19685.0
PO3,cereals,syn_and_man,3436.0
PO3,ley_silage,syn,1887.0
PO3,ley_silage,syn_and_man,3146.0
PO3,ley_pasture,syn,218.0
PO3,ley_pasture,syn_and_man,
PO3,other,syn,3364.0
PO3,other,syn_and_man,662.0
PO4,cereals,syn,18701.0
PO4,cereals,syn_and_man,2873.0
PO4,ley_silage,syn,2992.0
PO4,ley_silage,syn_and_man,1830.0
PO4,ley_pasture,syn,269.0
PO4,ley_pasture,syn_and_man,
PO4,other,syn,3518.0
PO4,other,syn_and_man,513.0
PO5,cereals,syn,3726.0
PO5,cereals,syn_and_man,1934.0
PO5,ley_silage,syn,2450.0
PO5,ley_silage,syn_and_man,10400.0
PO5,ley_pasture,syn,490.0
PO5,ley_pasture,syn_and_man,
PO5,other,syn,594.0
PO5,other,syn_and_man,476.0
PO6,cereals,syn,1436.0
PO6,cereals,syn_and_man,931.0
PO6,ley_silage,syn,1312.0
PO6,ley_silage,syn_and_man,
PO6,ley_pasture,syn,
PO6,ley_pasture,syn_and_man,
PO6,other,syn,
PO6,other,syn_and_man,
PO7,cereals,syn,
PO7,cereals,syn_and_man,
PO7,ley_silage,syn,
PO7,ley_silage,syn_and_man,
PO7,ley_pasture,syn,
PO7,ley_pasture,syn_and_man,
PO7,other,syn,
PO7,other,syn_and_man,
PO8,cereals,syn,
PO8,cereals,syn_and_man,
PO8,ley_silage,syn,
PO8,ley_silage,syn_and_man,1826.0
PO8,ley_pasture,syn,
PO8,ley_pasture,syn_and_man,
PO8,other,syn,
PO8,other,syn_and_man,
