"Tillförsel av kväve efter region, grödgrupp, gödselslag, tabellinnehåll och år, brutna"

"region","grödgrupp","gödselslag","Areal, hektar 2012/2013","Tillförd mängd kväve från handelsgödsel, kg per hektar 2012/2013"
"PO1 Götalands södra slättbygder","samtliga åkergrödor","enbart handelsgödsel",211600,134
"PO1 Götalands södra slättbygder","samtliga åkergrödor","både handels- och stallgödsel",66800,107
"PO1 Götalands södra slättbygder","spannmål","enbart handelsgödsel",137200,133
"PO1 Götalands södra slättbygder","spannmål","både handels- och stallgödsel",32300,90
"PO1 Götalands södra slättbygder","slåttervall","enbart handelsgödsel",9800,124
"PO1 Götalands södra slättbygder","slåttervall","både handels- och stallgödsel",16600,147
"PO1 Götalands södra slättbygder","betesvall","enbart handelsgödsel",2900,..
"PO1 Götalands södra slättbygder","betesvall","både handels- och stallgödsel",900,..
"PO1 Götalands södra slättbygder","samtliga åkergrödor utom spannmål och slåtter- och betesvall","enbart handelsgödsel",61800,142
"PO1 Götalands södra slättbygder","samtliga åkergrödor utom spannmål och slåtter- och betesvall","både handels- och stallgödsel",17100,104
"PO2 Götalands mellanbygder","samtliga åkergrödor","enbart handelsgödsel",113800,109
"PO2 Götalands mellanbygder","samtliga åkergrödor","både handels- och stallgödsel",122900,95
"PO2 Götalands mellanbygder","spannmål","enbart handelsgödsel",68300,108
"PO2 Götalands mellanbygder","spannmål","både handels- och stallgödsel",36500,81
"PO2 Götalands mellanbygder","slåttervall","enbart handelsgödsel",18600,106
"PO2 Götalands mellanbygder","slåttervall","både handels- och stallgödsel",55000,105
"PO2 Götalands mellanbygder","betesvall","enbart handelsgödsel",4000,64
"PO2 Götalands mellanbygder","betesvall","både handels- och stallgödsel",800,..
"PO2 Götalands mellanbygder","samtliga åkergrödor utom spannmål och slåtter- och betesvall","enbart handelsgödsel",22900,124
"PO2 Götalands mellanbygder","samtliga åkergrödor utom spannmål och slåtter- och betesvall","både handels- och stallgödsel",30600,94
"PO3 Götalands norra slättbygder","samtliga åkergrödor","enbart handelsgödsel",217800,116
"PO3 Götalands norra slättbygder","samtliga åkergrödor","både handels- och stallgödsel",75100,97
"PO3 Götalands norra slättbygder","spannmål","enbart handelsgödsel",169700,116
"PO3 Götalands norra slättbygder","spannmål","både handels- och stallgödsel",43500,79
"PO3 Götalands norra slättbygder","slåttervall","enbart handelsgödsel",17000,111
"PO3 Götalands norra slättbygder","slåttervall","både handels- och stallgödsel",24200,130
"PO3 Götalands norra slättbygder","betesvall","enbart handelsgödsel",3300,66
"PO3 Götalands norra slättbygder","betesvall","både handels- och stallgödsel",500,..
"PO3 Götalands norra slättbygder","samtliga åkergrödor utom spannmål och slåtter- och betesvall","enbart handelsgödsel",27800,121
"PO3 Götalands norra slättbygder","samtliga åkergrödor utom spannmål och slåtter- och betesvall","både handels- och stallgödsel",6900,96
"PO4 Svealands slättbygder","samtliga åkergrödor","enbart handelsgödsel",266600,95
"PO4 Svealands slättbygder","samtliga åkergrödor","både handels- och stallgödsel",62200,85
